X	Y	nZxy
-1050	-1050	161.78883427085
-1050	-1110	219.625856622916
-1050	-1170	217.462878974983
-1050	-1230	275.299901327049
-1050	-1290	273.136923679116
-1050	-1350	330.973946031182
-1050	-1410	328.810968383249
-1050	-1470	386.647990735315
-1050	-150	14.2334989898518
-1050	-1530	444.485013087382
-1050	-1590	502.322035439448
-1050	-1650	500.159057791515
-1050	-1710	557.996080143581
-1050	-1770	615.833102495648
-1050	-1830	733.670124847714
-1050	-1890	731.507147199781
-1050	-1950	789.344169551847
-1050	-2010	847.181191903914
-1050	-2070	905.01821425598
-1050	-210	72.0705213419183
-1050	-2130	962.855236608047
-1050	-2190	1080.69225896011
-1050	-2250	1138.52928131218
-1050	-2310	1196.36630366425
-1050	-270	69.9075436939847
-1050	-29.9995	78.5594723105323
-1050	-29.9998	18.5594614956442
-1050	-30	18.5594542857186
-1050	-330	67.7445660460512
-1050	-390	65.5815883981177
-1050	-450	63.4186107501844
-1050	-510	61.2556331022508
-1050	-570	59.0926554543173
-1050	-570.001	119.09261940469
-1050	-629.999	116.929713856011
-1050	-630	56.9296778063838
-1050	-690	114.76670015845
-1050	-750	112.603722510517
-1050	-750.001	172.60368646089
-1050	-810	110.440744862583
-1050	-870	168.27776721465
-1050	-89.9998	16.3964838477107
-1050	-90	16.3964766377851
-1050	-90.0005	76.3964586129714
-1050	-930	166.114789566717
-1050	-990	163.951811918783
-1050	1050	237.493051948521
-1050	1110	299.656029596455
-1050	1170	301.819007244388
-1050	1230	363.981984892322
-1050	1290	366.144962540255
-1050	1350	368.307940188189
-1050	1410	430.470917836122
-1050	1470	432.633895484056
-1050	149.999	85.0483511798916
-1050	150	85.048387229519
-1050	1530	494.796873131989
-1050	1590	556.959850779923
-1050	1650	619.122828427856
-1050	1710	681.285806075789
-1050	1770	743.448783723723
-1050	1830	745.611761371656
-1050	1890	807.77473901959
-1050	1950	869.937716667524
-1050	2010	932.100694315457
-1050	2070	994.26367196339
-1050	210	87.2113648774525
-1050	210.001	87.2114009270799
-1050	2130	1056.42664961132
-1050	2190	1118.58962725926
-1050	2250	1480.75260490719
-1050	2310	1662.91558255512
-1050	2370	1725.07856020306
-1050	270	89.3743425253861
-1050	270.001	89.3743785750135
-1050	2730	1078.05642609066
-1050	2790	1080.21940373859
-1050	2850	1022.38238138653
-1050	29.9995	80.7224139088385
-1050	2910	1084.54535903446
-1050	2970	1086.70833668239
-1050	30	20.7224319336522
-1050	30.0002	20.7224391435777
-1050	30.0005	80.7224499584659
-1050	3030	1088.87131433033
-1050	3090	1151.03429197826
-1050	3150	1153.19726962619
-1050	3210	1155.36024727413
-1050	3270	1097.52322492206
-1050	330	91.5373201733196
-1050	330.001	91.537356222947
-1050	3330	1099.68620256999
-1050	3390	1161.84918021793
-1050	3450	1164.01215786586
-1050	390	93.7002978212531
-1050	390.001	93.7003338708805
-1050	450	95.8632754691864
-1050	4650	667.27171082453
-1050	4710	609.434688472463
-1050	4770	611.597666120397
-1050	4830	613.76064376833
-1050	4890	675.923621416264
-1050	4950	738.086599064197
-1050	510	98.0262531171199
-1050	5370	273.227442599732
-1050	5430	215.390420247665
-1050	5490	217.553397895599
-1050	5550	279.716375543532
-1050	570	100.189230765053
-1050	630	102.352208412987
-1050	689.999	164.515150011293
-1050	690	164.51518606092
-1050	750	166.678163708854
-1050	810	168.841141356787
-1050	869.999	231.004082955093
-1050	870	231.004119004721
-1050	89.9995	82.885391556772
-1050	90	22.8854095815857
-1050	90.0005	82.8854276063994
-1050	930	233.167096652654
-1050	990	235.330074300588
-1110	-1050	158.442628874839
-1110	-1110	216.279651226906
-1110	-1170	214.116673578972
-1110	-1230	271.953695931039
-1110	-1290	269.790718283105
-1110	-1350	327.627740635172
-1110	-1410	325.464762987238
-1110	-1470	383.301785339305
-1110	-150	70.8872935938414
-1110	-1530	441.138807691371
-1110	-1590	498.975830043438
-1110	-1650	556.812852395504
-1110	-1710	614.649874747571
-1110	-1770	672.486897099637
-1110	-1830	670.323919451704
-1110	-1890	728.16094180377
-1110	-1950	785.997964155837
-1110	-2010	843.834986507904
-1110	-2070	901.67200885997
